CES6056160001,842.3(P)
CES6056161001,717.8(P)
CES6056161101,36.7(P)
CES6056161301,681.2(P)
CES6056162001,124.6(P)
CES6056170001,1902.5(P)
CES6056171001,105.9(P)
CES6056172001,1011.1(P)
CES6056173001,663.2(P)
CES6056174001,43.3(P)
CES6056179001,78.8(P)
CES6056190001,302.1(P)
CES6056191001,49.4(P)
CES6056192001,48.7(P)
CES6056199001,203.0(P)
CES6056200001,374.7(P)
CES6056210001,151.8(P)
CES6056220001,95.3(P)
CES6056221101,35.1(P)
CES6056221901,60.3(P)
CES6056290001,128.6(P)
CES6056291001,76.0(P)
CES6056299001,52.4(P)
CES6500000001,21233(P)
CES6561000001,3358.2(P)
CES6561110001,909.9(P)
CES6561120001,71.0(P)
CES6561130001,1683.7(P)
CES6561140001,74.8(P)
CES6561142001,28.4(P)
CES6561143001,46.3(P)
CES6561150001,134.2(P)
CES6561160001,366.6(P)
CES6561161001,82.6(P)
CES6561162001,101.0(P)
CES6561169001,184.0(P)
CES6561170001,118.2(P)
CES6562000001,17875.2(P)
CES6562000101,14604.8(P)
CES6562100001,6566.6(P)
CES6562110001,2459.9(P)
CES6562111101,2410.4(P)
CES6562111201,49.5(P)
CES6562120001,875.5(P)
CES6562130001,757.1(P)
CES6562131001,125.1(P)
CES6562132001,121.1(P)
CES6562133001,68.4(P)
CES6562134001,319.7(P)
CES6562139001,122.5(P)
CES6562139101,37.0(P)
CES6562139901,85.7(P)
CES6562140001,701.1(P)
CES6562142001,201.4(P)
CES6562149001,500.1(P)
CES6562149101,130.5(P)
CES6562149201,108.2(P)
CES6562149301,114.1(P)
CES6562149801,146.2(P)
CES6562150001,239.4(P)
CES6562151101,172.6(P)
CES6562151201,67.0(P)
CES6562160001,1263.1(P)
CES6562190001,270.5(P)
CES6562191001,165.8(P)
CES6562199001,104.5(P)
CES6562199101,67.5(P)
CES6562199901,37.2(P)
CES6562200001,4792.8(P)
CES6562210001,4443.2(P)
CES6562220001,124.0(P)
CES6562230001,225.4(P)
CES6562300001,3245.4(P)
CES6562310001,1647.9(P)
CES6562320001,605.7(P)
CES6562321001,396.7(P)
CES6562322001,209.0(P)
CES6562330001,828.9(P)
CES6562331101,441.7(P)
CES6562331201,386.6(P)
CES6562390001,162.8(P)
CES6562400001,3270.4(P)
CES6562410001,1908.8(P)
CES6562411001,180.5(P)
CES6562412001,1349.4(P)
CES6562419001,378.3(P)
CES6562420001,148.8(P)
CES6562421001,30.1(P)
CES6562423001,118.6(P)
CES6562430001,363.0(P)
CES6562440001,849.8(P)
CES7000000001,14437(P)
CES7071000001,2083.0(P)
CES7071100001,430.6(P)
CES7071110001,109.4(P)
CES7071113001,33.4(P)
CES7071119001,76.6(P)
CES7071120001,126.2(P)
CES7071121101,74.1(P)
CES7071121201,33.0(P)
CES7071121901,19.3(P)
CES7071130001,138.8(P)
CES7071150001,54.0(P)
CES7071200001,141.1(P)
CES7071211001,80.9(P)
CES7071219001,59.9(P)
CES7071300001,1511.3(P)
CES7071310001,197.9(P)
CES7071320001,136.0(P)
CES7071321001,90.7(P)
CES7071329001,45.3(P)
CES7071390001,1180.4(P)
CES7071391001,348.3(P)
CES7071392001,47.6(P)
CES7071393001,31.9(P)
CES7071394001,530.1(P)
CES7071395001,68.2(P)
CES7071399001,142.3(P)
CES7072000001,12354.4(P)
CES7072100001,1865.6(P)
CES7072110001,1810.0(P)
CES7072111001,1502.3(P)
CES7072112001,267.3(P)
CES7072119001,41.1(P)
CES7072119101,15.7(P)
CES7072119901,24.8(P)
CES7072120001,55.2(P)
CES7072121101,24.7(P)
CES7072121401,31.1(P)
CES7072200001,10488.8(P)
CES7072230001,597.4(P)
CES7072231001,427.4(P)
CES7072233001,171.5(P)
CES7072240001,355.6(P)
CES7072250001,9540.7(P)
CES7072251101,4983.1(P)
CES7072251301,3883.9(P)
CES7072251401,125.4(P)
CES7072251501,542.4(P)
CES8000000001,5480(P)
CES8081100001,1211.8(P)
CES8081110001,845.7(P)
CES8081111001,381.2(P)
CES8081111101,323.0(P)
CES8081111201,11.0(P)
CES8081111301,18.3(P)
CES8081111801,28.7(P)
CES8081112001,245.2(P)
CES8081112101,217.3(P)
CES8081112201,28.0(P)
CES8081119001,219.8(P)
CES8081119201,145.0(P)
CES8081119801,74.7(P)
CES8081120001,100.3(P)
CES8081121201,44.3(P)
CES8081121901,55.8(P)
CES8081130001,196.1(P)
CES8081140001,69.3(P)
CES8081200001,1349.2(P)
CES8081210001,644.1(P)
CES8081211001,504.9(P)
CES8081211201,446.5(P)
CES8081211301,58.8(P)
CES8081219001,138.8(P)
CES8081220001,132.8(P)
CES8081221001,103.7(P)
CES8081222001,29.0(P)
CES8081230001,298.4(P)
CES8081231001,34.9(P)
CES8081232001,136.2(P)
CES8081233001,127.5(P)
CES8081233101,73.2(P)
CES8081233201,54.0(P)
CES8081290001,274.8(P)
CES8081291001,79.5(P)
CES8081292001,11.8(P)
CES8081293001,129.9(P)
CES8081299001,52.8(P)
CES8081300001,2918.9(P)
CES8081320001,171.3(P)
CES8081321101,98.2(P)
CES8081321201,37.2(P)
CES8081321901,35.8(P)
CES8081330001,211.4(P)
CES8081331101,45.9(P)
CES8081331901,165.4(P)
CES8081340001,394.2(P)
CES8081390001,468.4(P)
CES8081391001,117.9(P)
CES8081392001,79.6(P)
CES8081393001,116.7(P)
CES8081399001,154.5(P)
CES9000000001,21842(P)
CES9091000001,2736.0(P)
CES9091100001,2141.6(P)
CES9091622001,314.5(P)
CES9091911001,524.6(P)
CES9091912001,594.4(P)
CES9091999901,1302.3(P)
CES9092000001,5059.0(P)
CES9092161101,2406.2(P)
CES9092200001,2652.3(P)
CES9092262201,354.7(P)
CES9092292001,1804.5(P)
CES9092299901,493.1(P)
CES9093000001,14047.0(P)
CES9093161101,7765.9(P)
CES9093200001,6280.7(P)
CES9093222101,238.6(P)
CES9093248001,291.4(P)
CES9093262201,651.6(P)
CES9093292001,4036.3(P)
CES9093299901,1064.9(P)
